asn,handle,description
0,IANA-RSVD-0,"Internet Assigned Numbers Authority"
1,LVLT-1,"Level 3 Parent LLC"
2,UDEL-DCN,"University of Delaware"
3,MIT-GATEWAYS,"Massachusetts Institute of Technology"
4,ISI-AS,"University of Southern California"
5,SYMBOLICS,"WFA Group LLC"
6,BULL-HN,"ATOS IT Solutions and Services Inc"
7,DSTL,"The Defence Science and Technology Laboratory"
8,RICE-AS,"Rice University"
9,CMU-ROUTER,"Carnegie Mellon University"
10,CSNET-EXT-AS,"CSNET Coordination and Information Center (CSNET-CIC)"
11,HARVARD,"Harvard University"
12,NYU-DOMAIN,"New York University"
13,DNIC-AS-00013,"Headquarters USAISC"
14,COLUMBIA-GW,"Columbia University"
15,NET-DYNAMICS-EXP,DYNAMICS
16,LBL,"Lawrence Berkeley National Laboratory"
17,PURDUE,"Purdue University"
18,UTEXAS,"University of Texas at Austin"
19,LEIDOS-AS,"Leidos Inc"
20,UR,"University of Rochester"
21,RAND,"The RAND Corporation"
22,DNIC-AS-00022,"Navy Network Information Center (NNIC)"
23,AS23,"National Aeronautics and Space Administration"
24,AS24,"National Aeronautics and Space Administration"
25,UCB,"University of California at Berkeley"
26,CORNELL,"Cornell University"
27,UMDNET,"University of Maryland"
28,DFVLR-SYS,"Deutsches Zentrum fuer Luft- und Raumfahrt e.V"
29,YALE-AS,"Yale University"
30,SRI-AICNET,"SRI International"
31,CIT,"California Institute of Technology"
32,STANFORD,"Stanford University"
33,HPINC,"HP Inc"
34,UDELNET,"University of Delaware"
35,MITRE-AS-1,"The MITRE Corporation"
36,EGP-TESTOR,"SRI International"
37,DNIC-AS-00037,"Navy Network Information Center (NNIC)"
38,UIUC,"University of Illinois"
39,DNIC-AS-00039,"United States Department of Defense (DoD)"
40,MIT-TEST,"Massachusetts Institute of Technology"
41,AS41,"National Aeronautics and Space Administration"
42,WOODYNET-1,"WoodyNet Inc"
43,BNL-AS,"Brookhaven National Laboratory"
44,S1-DOMAIN,"Lawrence Livermore National Laboratory"
45,LLL-TIS-AS,"Lawrence Livermore National Laboratory"
46,RUTGERS,"Rutgers The State University"
47,USC-AS,"University of Southern California"
48,DNIC-AS-00048,"Navy Network Information Center (NNIC)"
49,US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY,"National Institute of Standards and Technology"
50,ORNL-MSRNET,"Oak Ridge National Laboratory"
51,DNIC-AS-00051,"Headquarters USAISC"
52,UCLA,"University of California Los Angeles"
53,NORTHROP-AS,"Northrop Grumman Corporation - Automation Sciences Laboratory"
54,DNIC-AS-00054,"Headquarters USAISC"
55,UPENN,"University of Pennsylvania"
56,DNIC-AS-00056,"United States Department of Defense (DoD)"
57,NL-GIGAPOP,"University of Minnesota"
58,SSC-299-Z-58,"Shared Services Canada"
59,WISC-MADISON-AS,"University of Wisconsin Madison"
60,AINET-AS60-PDFFILE,"American Information Network"
61,DEC-MARLBORO-AS,"Air Force Systems Networking"
62,CONE,"CyrusOne LLC"
63,LL-MI,"Massachusetts Institute of Technology"
64,MITRE-AS-2,"The MITRE Corporation"
65,AF-RASN-65,"Air Force Systems Networking"
66,DNIC-AS-00066,"Headquarters USAISC"
67,SDC-PRC-AS,"Unisys Corporation"
